Time [s], Analyzer Name, Decoded Protocol Result
2.651760000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.651760000000000,Manchester hex,0xFE440F3C
2.675640000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.675640000000000,Manchester hex,0xFE440F3C
2.699525000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.699525000000000,Manchester hex,0xFE440F3C
2.723405000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.723405000000000,Manchester hex,0xFE440F3C
2.747290000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.747290000000000,Manchester hex,0xFE440F3C
2.771155000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.771155000000000,Manchester hex,0xFE440F3C
2.795035000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.795035000000000,Manchester hex,0xFE440F3C
2.818920000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.818920000000000,Manchester hex,0xFE440F3C
2.842785000000000,Manchester binary,0b  1111  1110  0100  0000  0000  1111  0010  1100
2.842785000000000,Manchester hex,0xFE400F2C
2.866670000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.866670000000000,Manchester hex,0xFE440F3C
2.890540000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.890540000000000,Manchester hex,0xFE440F3C
2.914425000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.914425000000000,Manchester hex,0xFE440F3C
2.938310000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.938310000000000,Manchester hex,0xFE440F3C
2.962180000000000,Manchester binary,0b  1111  1110  0100  0000  0000  1111  0010  1100
2.962180000000000,Manchester hex,0xFE400F2C
2.986065000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
2.986065000000000,Manchester hex,0xFE440F3C
